idtwitter,subj,pos,neg,iro,top,TEXT
3.92E+17,1,0,1,0,0,#20ThingsAboutMe Ho un serio problema: se un ragazzo non ha almeno 30 anni sicuro non mi piace.
1.92E+17,1,0,1,0,1,"#5Stelle: @gianpierodalia, al qualunquismo di #Grillo manca solo il cappio http://www.udc-italia.it/News/SchedaReader.aspx?TypeID=3&ID=100965 …"
1.48E+17,1,0,1,1,1,"#Albertazzi subito carico a @RaiRadio2: ""Mario #Monti? E' moscio. Come #Montolivo, il centrocampista della #Fiorentina"""
1.92E+17,1,0,1,0,1,#Alfano #Casini #Bersani se ci consegnate a #Vendola #DiPietro #Grillo facendo diventare l'Italia un casino totale da far ridere il mondo(1)
1.54E+17,1,0,1,1,1,#Ansa: dopo la #finanziaria del governo #Monti avvistati i primi gommoni di italiani diretti in Albania all'alba del nuovo #anno. #cronaca
1.47E+17,1,0,1,1,1,#ballaro Governo Monti:tutto quello che voleva fare Berlusconi ma non poteva
1.96E+17,1,0,1,0,1,#Bersani critica #Grillo per le offese a Napolitano ma non si sente in colpa per le offese alla nostra dignità di tutti questi anni.
1.87E+17,1,0,1,0,0,"#BoldiCapra ha fatto più ridere con questo insulto, che con in suoi film...Uomini inutili alla società!"
1.37E+17,1,0,1,0,1,#Bologna #Lazio Governo Monti. L'agenda per la sanità/2. Il collasso del sistema ... http://hithot.cc/it_IT/Bologna/  #hithotit
1.40E+17,1,0,1,0,1,#Bossi: “Il #governo #Monti fa schifo”. E #Berlusconi si dimise perché “ricattato” http://www.ilfattoquotidiano.it/2011/11/25/bossi-governo-monti-schifo-berlusconi-dimise-perche-ricattato/173121/ …
3.93E+17,1,0,1,0,0,#Buongiorno sono quasi le 8 del mattino ed e' ancora buio! E piove.
1.91E+17,1,0,1,0,1,#Cacciari #Grillo il politici attualmente da più anni in parlamento non sono in grado di fare strategie sono Pirati abituatisi al furto
1.60E+17,1,0,1,1,1,"#Calderoli: ""Ho trovato uno più razzista di me, il professor #Monti è un disgraziato"". Il cervello di Calderoli aderisce al #sopastrike."
1.35E+17,1,0,1,0,1,#CAMERA I toni di PD e PDL non sembrano propriamente concilianti...continuo a nutrire forti dubbi sul probabile governo Monti
1.47E+17,1,0,1,0,1,#delusionemonti a malincuore accantono speranze sul #governo #monti imbrigliato dagli #interessi di #partiti e #casta
1.35E+17,1,0,1,1,1,#fatepresto ma il governo Monti mica parte venerdi 11/11/11 alle ore 11?nn siamo scaramantici ma quando è troppo è troppo
1.48E+17,1,0,1,0,1,#FF @danffi: l'aumento della tassa SOLO sul tabacco trinciato è la prova che il governo #Monti si accanisce volontariamente solo sui +poveri
1.35E+17,1,0,1,1,1,"#FF @tigella: Oh che notizia, si va verso un governo Monti e lo spread diminuisce. Che sorpresa! E proprio una cosa di cui gioire!"
1.57E+17,1,0,1,0,1,#fisco e abuso del diritto: quando il risparmio d’imposta diventa vantaggio fiscale indebito #governo Monti http://www.tesoro.it/documenti/open.asp?idd=28756 …
1.61E+17,1,0,1,0,1,#giornaleradiorai La Lega in piazza: no al Governo Monti http://fb.me/1jHdJ0eJo 
1.65E+17,1,0,1,0,1,#Governo #Monti #pacchetto #anticorruzione: il #contrastodiinteressi è altra cosa che pagare #spioni #delatori per segnalare evasori.
1.40E+17,1,0,1,0,1,#governo #monti #tecnici dimostreranno miopia dei #partiti coltivatori di consensi sull'onda di ideologie ormai vetuste
1.50E+17,1,0,1,0,1,"#Governo #Monti sempre più governo per le banche, e noi poveracci a farne le spese. #indignato"
1.37E+17,1,0,1,1,1,#Governo #Monti: il divino Otelma #ministro dell' #Economia
1.93E+17,1,0,1,0,1,#Grillo #CoffeeBreak #Monti è un servo del sistema mondiale bancario e non fa di certo il nostro interesse. Siamo peggio della Grecia.
1.93E+17,1,0,1,0,1,"#Grillo , a differenza di ciò che dice, non ha proposte concrete, spara a zero su tutto e tutti, è facile far politica così #Piazzapulita"
1.90E+17,1,0,1,0,1,"#Grillo :""colpito chi si oppone.dopo la lega punteranno Idv e noi"". Si paracula preventivamente. #codadipaglia ?"
1.91E+17,1,0,1,0,1,"#Grillo @RitaCrocifoglio chi lo teme è insicuro delle proprie idee, una politica forte non dovrebbe avere paura dei comici, povera #Italia"
1.96E+17,1,0,1,0,1,#Grillo a #Budrio ; ancora non una parola su come governare Budrio : e' uno show . Niente concretezza . Deludemte .
1.92E+17,1,0,1,0,1,#Grillo afferma di voler fare una #Norimberga per i partiti. Chi dice queste cose è solo un capocomico profittatore del disagio sociale.
1.91E+17,1,0,1,0,1,"#Grillo al 7%. Se #ABC non lavorano seriamente al rinnovamento della politica, aspettiamoci nel 2013 un Parlamento ancora più collassato"
